                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.87085,                0.53935,                  0.864,                0.63754,                0.64524,                0.63325,                  0.365,                 1.1701,                0.67341,                0.92479,               0.000208,               0.000208,               0.000208
                    123,                0.89321,                0.55624,                0.87263,                0.65867,                0.63426,                0.62679,                0.36213,                 1.1811,                 0.6777,                0.92215,              0.0002014,              0.0002014,              0.0002014
                    124,                0.88297,                0.54907,                0.86723,                0.69348,                0.63915,                0.62933,                0.37328,                 1.2021,                0.67157,                0.93149,              0.0001948,              0.0001948,              0.0001948
                    125,                0.88311,                0.55209,                0.86304,                0.67755,                0.64467,                 0.6401,                0.36987,                 1.1587,                0.65902,                 0.9201,              0.0001882,              0.0001882,              0.0001882
                    126,                 0.8705,                0.54858,                0.86979,                0.73215,                0.61648,                0.63532,                0.36631,                 1.1808,                0.66169,                0.92439,              0.0001816,              0.0001816,              0.0001816
                    127,                  0.867,                0.54991,                0.86652,                0.69598,                 0.6308,                0.63511,                0.37377,                 1.1706,                 0.6799,                0.92081,               0.000175,               0.000175,               0.000175
                    128,                0.87317,                0.54257,                0.86501,                0.68807,                0.63256,                0.62195,                0.36354,                  1.191,                0.68974,                0.92725,              0.0001684,              0.0001684,              0.0001684
                    129,                0.87524,                 0.5472,                0.86725,                0.70342,                 0.6554,                0.64004,                0.36869,                 1.1856,                0.68198,                0.91822,              0.0001618,              0.0001618,              0.0001618
                    130,                0.86591,                0.53728,                0.87366,                0.69171,                0.65381,                0.64583,                0.36806,                 1.1674,                0.67821,                0.91657,              0.0001552,              0.0001552,              0.0001552
                    131,                0.85499,                0.53142,                 0.8596,                0.72624,                0.62134,                0.63964,                0.37029,                 1.1607,                0.67386,                0.91465,              0.0001486,              0.0001486,              0.0001486
                    132,                 0.8472,                0.52978,                0.86164,                0.73074,                 0.6096,                0.63869,                0.37107,                 1.1887,                0.66827,                0.91993,               0.000142,               0.000142,               0.000142
                    133,                0.84793,                0.53383,                0.86624,                0.70873,                0.60835,                0.64852,                0.37417,                 1.1888,                0.67324,                0.92256,              0.0001354,              0.0001354,              0.0001354
                    134,                0.84757,                 0.5358,                0.85907,                0.69969,                0.60383,                0.64594,                0.37146,                 1.1917,                0.67215,                0.92419,              0.0001288,              0.0001288,              0.0001288
                    135,                0.86264,                0.54092,                0.86472,                0.68041,                0.63827,                0.65402,                0.37726,                 1.1877,                0.67082,                0.92145,              0.0001222,              0.0001222,              0.0001222
                    136,                0.84876,                0.54028,                0.86686,                0.71094,                0.62065,                0.64884,                0.36724,                 1.1871,                0.67294,                0.92893,              0.0001156,              0.0001156,              0.0001156
                    137,                0.85423,                0.53208,                 0.8627,                0.71072,                 0.6207,                0.65406,                0.36801,                 1.1856,                0.67467,                0.92443,               0.000109,               0.000109,               0.000109
                    138,                0.86103,                0.54312,                0.86599,                0.72551,                0.61572,                0.65424,                0.36937,                 1.1965,                  0.677,                0.92904,              0.0001024,              0.0001024,              0.0001024
                    139,                0.85869,                0.53878,                0.86299,                0.71621,                 0.6142,                0.64693,                 0.3713,                  1.182,                0.67862,                0.92414,               9.58e-05,               9.58e-05,               9.58e-05
                    140,                0.83742,                0.52572,                0.86163,                 0.7008,                0.61706,                0.64979,                0.37804,                  1.173,                0.67363,                0.92215,               8.92e-05,               8.92e-05,               8.92e-05
                    141,                 0.7905,                0.50664,                0.85126,                 0.7169,                0.59125,                0.64484,                0.37133,                 1.1822,                0.68804,                0.92338,               8.26e-05,               8.26e-05,               8.26e-05
                    142,                0.82399,                0.52157,                0.86062,                0.69377,                0.61724,                0.65087,                0.37461,                  1.178,                0.68631,                0.92474,                7.6e-05,                7.6e-05,                7.6e-05
                    143,                0.81248,                0.51268,                0.85272,                0.71665,                0.58913,                0.64301,                0.37095,                 1.1768,                0.68506,                 0.9258,               6.94e-05,               6.94e-05,               6.94e-05
                    144,                0.82067,                0.51713,                0.85683,                0.71614,                0.59543,                0.63806,                0.36641,                 1.1811,                0.68922,                0.92418,               6.28e-05,               6.28e-05,               6.28e-05
                    145,                0.80017,                0.50976,                0.85129,                0.69842,                0.61722,                0.64106,                0.36765,                 1.1907,                0.69039,                0.92529,               5.62e-05,               5.62e-05,               5.62e-05
                    146,                0.79778,                0.50403,                0.85516,                0.69886,                0.62906,                0.63879,                0.36808,                 1.1964,                0.68996,                 0.9285,               4.96e-05,               4.96e-05,               4.96e-05
                    147,                0.80081,                0.50521,                0.85283,                0.69475,                0.60949,                0.63913,                0.36458,                 1.1944,                0.69109,                0.92639,                4.3e-05,                4.3e-05,                4.3e-05
                    148,                0.80779,                0.50628,                 0.8576,                0.69688,                0.60936,                0.63594,                0.36147,                 1.2022,                 0.6914,                 0.9282,               3.64e-05,               3.64e-05,               3.64e-05
                    149,                0.79429,                0.50427,                0.85127,                0.71966,                0.60817,                0.64138,                0.36202,                 1.2025,                0.69006,                0.92759,               2.98e-05,               2.98e-05,               2.98e-05
                    150,                0.78583,                0.49693,                0.85735,                0.70612,                 0.6285,                0.63807,                0.36844,                 1.1994,                 0.6848,                0.92567,               2.32e-05,               2.32e-05,               2.32e-05
